title,budget,vote_count,revenue
Tales from the Hood,6000000.0,33.0,12000000.0
The Underneath,6500000.0,15.0,0.0
What's Eating Gilbert Grape,11000000.0,943.0,10032765.0
Virtuosity,30000000.0,163.0,24048000.0
While You Were Sleeping,17000000.0,340.0,182057016.0
Muriel's Wedding,3000000.0,104.0,15119639.0
Ace Ventura: Pet Detective,15000000.0,1684.0,107217396.0
Bitter Moon,5000000.0,115.0,1862805.0
Clear and Present Danger,62000000.0,390.0,215887717.0
The Client,45000000.0,287.0,117615211.0
The Crow,15000000.0,980.0,94000000.0
The Flintstones,46000000.0,559.0,341631208.0
Forrest Gump,55000000.0,8147.0,677945399.0
Four Weddings and a Funeral,6000000.0,654.0,254700832.0
I Love Trouble,45000000.0,41.0,61947267.0
The Lion King,45000000.0,5520.0,788241776.0
Little Buddha,35000000.0,76.0,4858139.0
New Nightmare,14000000.0,297.0,18090181.0
The Mask,23000000.0,2550.0,351583407.0
The Naked Gun 33⅓: The Final Insult,30000000.0,535.0,51132598.0
The Paper,6000000.0,40.0,0.0
Reality Bites,11500000.0,180.0,20079850.0
Red Rock West,8000000.0,71.0,2000000.0
Ri¢hie Ri¢h,40000000.0,426.0,0.0
The River Wild,45000000.0,214.0,0.0
Speed,30000000.0,1814.0,350448145.0
Timecop,27000000.0,288.0,101646581.0
True Lies,115000000.0,1138.0,378882411.0
Wyatt Earp,63000000.0,203.0,25052000.0
A Low Down Dirty Shame,10000000.0,31.0,29392418.0
"Faster, Pussycat! Kill! Kill!",45000.0,59.0,0.0
Jason's Lyric,7000000.0,9.0,20851521.0
Street Fighter,35000000.0,330.0,99423521.0
Highlander: The Final Dimension,26000000.0,110.0,36800000.0
In the Mouth of Madness,8000000.0,307.0,8946600.0
The Age of Innocence,34000000.0,172.0,32255440.0
The Air Up There,17080000.0,42.0,21011500.0
Barcelona,3200000.0,20.0,0.0
Being Human,40000000.0,15.0,0.0
Beverly Hills Cop III,50000000.0,445.0,119208989.0
Body Snatchers,13000000.0,102.0,428868.0
A Bronx Tale,22000000.0,447.0,17287898.0
Calendar Girl,13000000.0,10.0,2570145.0
Carlito's Way,30000000.0,805.0,36516012.0
Cliffhanger,70000000.0,600.0,255000211.0
Color of Night,40000000.0,117.0,19726050.0
Dazed and Confused,6900000.0,588.0,7993039.0
Demolition Man,57000000.0,1018.0,159055768.0
Even Cowgirls Get the Blues,8000000.0,29.0,0.0
For Love or Money,30000000.0,77.0,11146270.0
The Firm,42000000.0,513.0,270248367.0
Free Willy,20000000.0,429.0,153698625.0
The Fugitive,44000000.0,1240.0,368875760.0
Geronimo: An American Legend,35000000.0,44.0,18635620.0
Getting Even with Dad,30000000.0,43.0,0.0
Hard Target,18000000.0,237.0,74189677.0
Heaven & Earth,33000000.0,51.0,0.0
Hot Shots! Part Deux,25000000.0,463.0,133752825.0
The House of the Spirits,25000000.0,135.0,0.0
The Hudsucker Proxy,30000000.0,280.0,0.0
I'll Do Anything,40000000.0,18.0,0.0
In the Line of Fire,40000000.0,392.0,176997168.0
In the Name of the Father,13000000.0,363.0,65796862.0
Jimmy Hollywood,30000000.0,17.0,0.0
Jurassic Park,63000000.0,4956.0,920100000.0
Kalifornia,9000000.0,209.0,2395231.0
Killing Zoe,1500000.0,111.0,418961.0
Last Action Hero,85000000.0,725.0,137298489.0
Made in America,22000000.0,86.0,0.0
Manhattan Murder Mystery,13500000.0,169.0,11285588.0
Menace II Society,3500000.0,179.0,27900000.0
Executive Decision,55000000.0,261.0,121969216.0
Much Ado About Nothing,8000000.0,194.0,0.0
Mrs. Doubtfire,25000000.0,1638.0,441286195.0
The Next Karate Kid,12000000.0,202.0,15826984.0
No Escape,20000000.0,86.0,15340000.0
North,40000000.0,67.0,0.0
Orlando,4000000.0,53.0,0.0
A Perfect World,30000000.0,376.0,135130999.0
Philadelphia,26000000.0,1019.0,206678440.0
The Piano,7000000.0,290.0,116700000.0
Poetic Justice,14000000.0,47.0,27515786.0
The Ref,11000000.0,99.0,11439193.0
The Remains of the Day,11500000.0,213.0,23237911.0
Renaissance Man,40000000.0,83.0,24332324.0
RoboCop 3,22000000.0,309.0,10696210.0
Robin Hood: Men in Tights,20000000.0,575.0,35739755.0
Romeo Is Bleeding,11500000.0,36.0,3275585.0
Ruby in Paradise,800000.0,10.0,1001437.0
Rudy,12000000.0,187.0,22750363.0
Schindler's List,22000000.0,4436.0,321365567.0
Serial Mom,13000000.0,137.0,7820688.0
The Shadow,25000000.0,140.0,48063435.0
Shadowlands,22000000.0,61.0,0.0
Sleepless in Seattle,21000000.0,630.0,227799884.0
Sliver,40000000.0,144.0,116300000.0
Blade Runner,28000000.0,3833.0,33139618.0
So I Married an Axe Murderer,20000000.0,131.0,11585483.0
Striking Distance,30.0,223.0,0.0
Super Mario Bros.,48000000.0,236.0,20915465.0
Surviving the Game,7400000.0,53.0,7690013.0
Terminal Velocity,50000000.0,82.0,16478900.0
The Nightmare Before Christmas,18000000.0,2135.0,75634409.0
The Three Musketeers,30000000.0,219.0,53898845.0
Tombstone,25000000.0,632.0,56505065.0
True Romance,12500000.0,762.0,12281551.0
The Pagemaster,27000000.0,178.0,13670688.0
Spanking the Monkey,200000.0,29.0,0.0
Home Alone,18000000.0,2487.0,476684675.0
Ghost,22000000.0,1381.0,505000000.0
Aladdin,28000000.0,3495.0,504050219.0
Terminator 2: Judgment Day,100000000.0,4274.0,520000000.0
Dances with Wolves,22000000.0,1084.0,424208848.0
Batman,35000000.0,2145.0,411348924.0
The Silence of the Lambs,19000000.0,4549.0,272742922.0
Snow White and the Seven Dwarfs,1488423.0,1973.0,184925486.0
Beauty and the Beast,25000000.0,3029.0,377350553.0
Pinocchio,2600000.0,1412.0,84300000.0
Pretty Woman,14000000.0,1807.0,463000000.0
The Wild Bunch,6244087.0,266.0,638641.0
Fargo,7000000.0,2080.0,60611975.0
Heavy Metal,9300000.0,150.0,0.0
Hellraiser: Bloodline,4000000.0,111.0,16675000.0
The Pallbearer,8000000.0,30.0,0.0
Loaded,500000.0,3.0,0.0
The Aristocats,4000000.0,1287.0,55675257.0
Primal Fear,30000000.0,644.0,102616183.0
Theodore Rex,33500000.0,17.0,0.0
Girl 6,12000000.0,17.0,4939939.0
Courage Under Fire,46000000.0,240.0,100860818.0
Mission: Impossible,80000000.0,2677.0,457696359.0
DragonHeart,57000000.0,553.0,115267375.0
James and the Giant Peach,38000000.0,375.0,28921264.0
Faithful,13000000.0,4.0,9789900.0
Underground,14000000.0,143.0,0.0
Space Jam,80000000.0,1335.0,250200000.0
Barbarella,9000000.0,149.0,2500000.0
Alphaville,220000.0,100.0,0.0
Mrs. Winterbourne,25000000.0,26.0,10070000.0
Faces,275000.0,36.0,0.0
The Quest,30000000.0,126.0,57400547.0
Oliver & Company,31000000.0,372.0,74151346.0
Flipper,25530000.0,85.0,20080020.0
Dead Man,9000000.0,397.0,0.0
The Horseman on the Roof,35000000.0,25.0,15000000.0
Multiplicity,45000000.0,158.0,0.0
The Craft,15000000.0,388.0,24769466.0
Heaven's Prisoners,25000000.0,17.0,0.0
Original Gangstas,4800000.0,5.0,3014000.0
The Rock,75000000.0,1474.0,335062621.0
Cemetery Man,4000000.0,105.0,0.0
Twister,92000000.0,966.0,494471524.0
Spy Hard,18000000.0,148.0,0.0
The Arrival,25000000.0,200.0,14048372.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,1472.0,9440272.0
The Phantom,45000000.0,138.0,17300889.0
Striptease,50000000.0,210.0,113309743.0
Jack,45000000.0,340.0,58620973.0
Pharaoh's  Army,50.0,5.0,0.0
Trainspotting,4000000.0,2737.0,16491080.0
Til There Was You,1000000.0,4.0,0.0
Independence Day,75000000.0,3334.0,816969268.0
The Fan,55000000.0,202.0,18626419.0
The Hunchback of Notre Dame,100000000.0,1182.0,100138851.0
The Cable Guy,47000000.0,603.0,102825796.0
Kingpin,27000000.0,248.0,25023434.0
Eraser,100000000.0,553.0,242295562.0
The Nutty Professor,54000000.0,717.0,128769345.0
Daylight,80000000.0,385.0,159212469.0
The Frighteners,30000000.0,413.0,29359216.0
Lone Star,5000000.0,79.0,13269963.0
Harriet the Spy,12000000.0,47.0,0.0
Phenomenon,32000000.0,328.0,152036382.0
She's the One,3500000.0,71.0,9482579.0
A Time to Kill,40000000.0,522.0,152266007.0
Alaska,23000000.0,32.0,0.0
Fled,25000000.0,49.0,17193231.0
Kazaam,20000000.0,60.0,0.0
Larger Than Life,30000000.0,35.0,0.0
Joe's Apartment,13000000.0,87.0,4619014.0
The First Wives Club,26000000.0,172.0,116400000.0
Ransom,80000000.0,482.0,309492681.0
Chain Reaction,50000000.0,291.0,60209334.0
Matilda,36000000.0,892.0,33459416.0
Emma,6000000.0,152.0,22231658.0
The Crow: City of Angels,13000000.0,119.0,17917287.0
Bordello of Blood,15000000.0,63.0,5600000.0
The Spitfire Grill,6000000.0,17.0,12643776.0
Escape from L.A.,50000000.0,381.0,42277365.0
Basquiat,2962051.0,97.0,3011195.0
Tin Cup,45000000.0,152.0,53854588.0
Dingo,200000.0,1.0,300000.0
The Godfather,6000000.0,6024.0,245066411.0
Police Story 3: Supercop,900000.0,109.0,20483423.0
Manny & Lo,500000.0,9.0,431326.0
Small Faces,1850000.0,10.0,0.0
Bound,4500000.0,203.0,7011317.0
Carpool,17000000.0,17.0,0.0
Kansas City,18000000.0,13.0,0.0
Gone Fishin',53000000.0,48.0,0.0
The Relic,60000000.0,130.0,33956608.0
The Island of Dr. Moreau,40000000.0,148.0,49627779.0
The Trigger Effect,8000000.0,18.0,0.0
Bogus,32000000.0,46.0,0.0
Bulletproof,25000000.0,164.0,22611954.0
Halloween: The Curse of Michael Myers,5000000.0,173.0,15116634.0
For Whom the Bell Tolls,3000000.0,41.0,0.0
Singin' in the Rain,2540800.0,747.0,7200000.0
An American in Paris,2723903.0,133.0,4500000.0
Breakfast at Tiffany's,2500000.0,1082.0,9500000.0
Vertigo,2479000.0,1162.0,28000000.0
Rear Window,1000000.0,1531.0,36764313.0
It Happened One Night,325000.0,283.0,4500000.0
Gaslight,2068000.0,73.0,0.0
The Gay Divorcee,520000.0,17.0,0.0
North by Northwest,4000000.0,1062.0,13275000.0
The Apartment,3000000.0,498.0,25000000.0
Some Like It Hot,2883848.0,835.0,25000000.0
Charade,4000000.0,351.0,13474588.0
Casablanca,878000.0,1462.0,10462500.0
The Maltese Falcon,375000.0,435.0,1000000.0
My Fair Lady,17000000.0,361.0,72070731.0
Sabrina,2238813.0,284.0,10000000.0
Roman Holiday,1500000.0,502.0,12000000.0
The Wizard of Oz,2777000.0,1689.0,33754967.0
Gone with the Wind,4000000.0,995.0,400176459.0
Sunset Boulevard,1752000.0,533.0,5000000.0
Citizen Kane,839727.0,1244.0,23217674.0
2001: A Space Odyssey,10500000.0,3075.0,68700000.0
All About Eve,1400000.0,367.0,63463.0
The Women,1688000.0,26.0,2270000.0
Rebecca,1288000.0,346.0,6000000.0
Notorious,2000000.0,345.0,24464742.0
Spellbound,1500000.0,166.0,7000000.0
To Catch a Thief,2500000.0,299.0,8750000.0
Ninotchka,1365000.0,77.0,2279000.0
The Adventures of Robin Hood,2033000.0,170.0,3981000.0
Laura,1020000.0,173.0,2000000.0
Lost Horizon,4000000.0,42.0,0.0
Top Hat,609000.0,62.0,3202000.0
Giant,5400000.0,169.0,35000000.0
East of Eden,1.0,163.0,5.0
The Thin Man,226408.0,97.0,1423000.0
Around the World in Eighty Days,6000000.0,85.0,42000000.0
It's a Wonderful Life,3180000.0,1103.0,9644124.0
Mr. Smith Goes to Washington,1500000.0,245.0,9600000.0
Bringing Up Baby,1073000.0,201.0,0.0
Night of the Living Dead,114000.0,591.0,30000000.0
The African Queen,1300000.0,232.0,10750000.0
Beat the Devil,1000000.0,31.0,0.0
Cat on a Hot Tin Roof,3000000.0,168.0,17570324.0
A Farewell to Arms,4.0,29.0,25.0
Maximum Risk,25000000.0,104.0,51702483.0
Michael Collins,28000000.0,98.0,16900000.0
Last Man Standing,67000000.0,263.0,47267001.0
Set It Off,9000000.0,66.0,41590886.0
Curdled,2300000.0,29.0,49620.0
Extreme Measures,38000000.0,80.0,17380126.0
The Glimmer Man,45000000.0,102.0,0.0
The Chamber,50000000.0,62.0,22540359.0
"20,000 Leagues Under the Sea",5000000.0,160.0,28200000.0
Cool Runnings,14000000.0,510.0,154864401.0
Cinderella,2900000.0,1760.0,263591415.0
The Sword in the Stone,3000000.0,935.0,22182353.0
Robin Hood: Prince of Thieves,48000000.0,937.0,390493908.0
Mary Poppins,6000000.0,1217.0,102272727.0
Dumbo,812000.0,1206.0,1600000.0
Pete's Dragon,10000000.0,201.0,0.0
Bedknobs and Broomsticks,20000000.0,260.0,17900000.0
Alice in Wonderland,3000000.0,1557.0,572000000.0
The Fox and the Hound,12000000.0,884.0,29800000.0
Freeway,3000000.0,95.0,0.0
The Sound of Music,8200000.0,966.0,286214286.0
Die Hard,28000000.0,4005.0,140767956.0
The Lawnmower Man,10000000.0,198.0,32101000.0
Secrets & Lies,4500000.0,127.0,13417292.0
Surviving Picasso,16000000.0,21.0,1985001.0
The Long Kiss Goodnight,65000000.0,323.0,89456761.0
The Ghost and the Darkness,50000000.0,238.0,75000000.0
Get on the Bus,2400000.0,11.0,5731103.0
Shadow Conspiracy,45000000.0,12.0,2154540.0
Jude,7000000.0,38.0,405000.0
Everyone Says I Love You,20000000.0,149.0,0.0
Romeo + Juliet,14500000.0,1406.0,147298761.0
Swingers,200000.0,255.0,4505922.0
Sleepers,44000000.0,729.0,165615285.0
For the Moment,120.0,3.0,0.0
Willy Wonka & the Chocolate Factory,3000000.0,826.0,4000000.0
Sleeper,2000000.0,206.0,18344729.0
Bananas,2000000.0,167.0,11833696.0
A Fish Called Wanda,7500000.0,576.0,62493712.0
Life of Brian,4000000.0,1230.0,20045115.0
The Great Race,12000000.0,64.0,25333333.0
Bonnie and Clyde,2500000.0,384.0,50700000.0
Dial M for Murder,1400000.0,539.0,3000000.0
Dirty Dancing,6000000.0,1371.0,213954274.0
Reservoir Dogs,1200000.0,3821.0,14661007.0
Platoon,6000000.0,1236.0,138530565.0
Weekend at Bernie's,6500000.0,255.0,30218387.0
Basic Instinct,49000000.0,869.0,352927224.0
The Doors,38000000.0,285.0,34416893.0
The Crying Game,3705538.0,180.0,62548947.0
Glengarry Glen Ross,12500000.0,330.0,10725228.0
Sophie's Choice,12000000.0,149.0,30036000.0
E.T. the Extra-Terrestrial,10500000.0,3359.0,792965326.0
Days of Thunder,60000000.0,359.0,157920733.0
Top Gun,15000000.0,1736.0,356830601.0
Rebel Without a Cause,1500000.0,351.0,0.0
A Streetcar Named Desire,1800000.0,291.0,8000000.0
The Funeral,12500000.0,31.0,1227324.0
The People vs. Larry Flynt,36000000.0,257.0,20300385.0
The Return of the Pink Panther,5000000.0,138.0,41833347.0
Drop Dead Fred,6788000.0,107.0,13878334.0
The Abyss,70000000.0,822.0,90000098.0
The Fog,1000000.0,318.0,21378361.0
Escape from New York,6000000.0,720.0,50244700.0
The Howling,1000000.0,165.0,17985893.0
Jean de Florette,4940939.0,113.0,0.0
Monty Python and the Holy Grail,400000.0,1742.0,5028948.0
Three Lives and Only One Death,500000.0,5.0,0.0
Bad Moon,7000000.0,33.0,1100000.0
Delicatessen,4000000.0,320.0,1794187.0
Paths of Glory,935000.0,565.0,0.0
The English Patient,27000000.0,559.0,231976425.0
My Left Foot: The Story of Christy Brown,645180.0,208.0,14743391.0
"Sex, Lies, and Videotape",1200000.0,188.0,0.0
Strictly Ballroom,3000000.0,83.0,33946224.0
Madonna: Truth or Dare,4.0,32.0,29.0
Paris is Burning,500000.0,67.0,3779620.0
One Flew Over the Cuckoo's Nest,3000000.0,3001.0,108981275.0
The Empire Strikes Back,18000000.0,5998.0,538400000.0
The Princess Bride,16000000.0,1518.0,30857814.0
Raiders of the Lost Ark,18000000.0,3949.0,389925971.0
Brazil,15000000.0,877.0,0.0
Aliens,18500000.0,3282.0,183316455.0
"The Good, the Bad and the Ugly",1200000.0,2371.0,6000000.0
12 Angry Men,350000.0,2130.0,1000000.0
Lawrence of Arabia,15000000.0,870.0,69995385.0
A Clockwork Orange,2200000.0,3432.0,26589000.0
To Kill a Mockingbird,2000000.0,676.0,13129846.0
Apocalypse Now,31500000.0,2112.0,89460381.0
Once Upon a Time in the West,5000000.0,1160.0,5321508.0
Return of the Jedi,32350000.0,4763.0,572700000.0
Wings of Desire,2500000.0,256.0,3200000.0
GoodFellas,25000000.0,3211.0,46836394.0
Alien,11000000.0,4564.0,104931801.0
Army of Darkness,11000000.0,852.0,0.0
Ran,11500000.0,349.0,4069653.0
Psycho,806948.0,2405.0,32000000.0
The Blues Brothers,27000000.0,1092.0,115229890.0
The Godfather: Part II,13000000.0,3418.0,47542841.0
Full Metal Jacket,17000000.0,2595.0,46357676.0
Henry V,9000000.0,73.0,0.0
Amadeus,18000000.0,1107.0,51973029.0
Once Upon a Time in America,30000000.0,1104.0,0.0
Raging Bull,18000000.0,968.0,23000000.0
Annie Hall,4000000.0,1044.0,38251425.0
The Right Stuff,27000000.0,241.0,21500000.0
Das Boot,14000000.0,623.0,85000000.0
The Sting,5500000.0,639.0,159616327.0
Harold and Maude,1200000.0,266.0,0.0
Trust,700000.0,24.0,0.0
The Terminator,6400000.0,4208.0,78371200.0
Braindead,3000000.0,388.0,242623.0
Glory,18000000.0,391.0,26828365.0
Miller's Crossing,14000000.0,431.0,5080409.0
Dead Poets Society,16400000.0,2786.0,235860116.0
The Graduate,3000000.0,855.0,104945305.0
Touch of Evil,829000.0,292.0,2247465.0
The Bridge on the River Kwai,3000000.0,554.0,27200000.0
Chinatown,6000000.0,939.0,30000000.0
The Day the Earth Stood Still,1200000.0,323.0,0.0
The Treasure of the Sierra Madre,3800000.0,285.0,4307000.0
Bad Taste,25710.0,196.0,0.0
The Shining,19000000.0,3890.0,44017374.0
Stand by Me,8000000.0,1568.0,52287414.0
Evil Dead II,3600000.0,760.0,5923044.0
The Great Escape,4000000.0,731.0,11744471.0
The Deer Hunter,15000000.0,943.0,50000000.0
Groundhog Day,14600000.0,2358.0,70906973.0
Unforgiven,14000000.0,1133.0,159157447.0
The Manchurian Candidate,80000000.0,188.0,96105910.0
Arsenic and Old Lace,1120175.0,234.0,0.0
Back to the Future,19000000.0,6239.0,381109762.0
Fried Green Tomatoes,11000000.0,298.0,119418501.0
Patton,12000000.0,327.0,89800000.0
Akira,8000000.0,792.0,553171.0
Highlander,16000000.0,642.0,5900000.0
Cool Hand Luke,3000000.0,390.0,16217773.0
Young Frankenstein,2800000.0,880.0,86273333.0
Night on Earth,3500000.0,165.0,2015810.0
The Great Dictator,2000000.0,756.0,11000000.0
Fantasia,2280000.0,831.0,83320000.0
High Noon,730000.0,343.0,8000000.0
Somewhere in Time,5100000.0,104.0,0.0
Ben-Hur,15000000.0,660.0,146900000.0
This Is Spinal Tap,2500000.0,413.0,4736202.0
Indiana Jones and the Last Crusade,48000000.0,3221.0,474171806.0
Gandhi,22000000.0,730.0,77737889.0
The Unbearable Lightness of Being,17000000.0,89.0,10006806.0
A Room with a View,3000000.0,164.0,20966644.0
Pink Floyd: The Wall,12000000.0,363.0,22244207.0
The Killing Fields,14400000.0,180.0,34700291.0
Forbidden Planet,1900000.0,238.0,3250000.0
Butch Cassidy and the Sundance Kid,6000000.0,659.0,102308889.0
"Paris, Texas",1746964.0,282.0,2181987.0
Until the End of the World,23000000.0,45.0,0.0
When Harry Met Sally...,16000000.0,974.0,92823546.0
Alien³,50000000.0,1664.0,159773545.0
An American Werewolf in London,10000000.0,571.0,31973249.0
Amityville: A New Generation,1500000.0,17.0,0.0
April Fool's Day,5000000.0,74.0,0.0
The Birds,2500000.0,959.0,11403529.0
The Blob,240000.0,147.0,0.0
Blood Beach,2000000.0,18.0,0.0
Dracula,40000000.0,1087.0,215862692.0
Bride of Frankenstein,393750.0,208.0,0.0
Candyman,6000000.0,303.0,25792310.0
Cape Fear,35000000.0,692.0,182300000.0
Carrie,1800000.0,977.0,33800000.0
A Nightmare on Elm Street,1800000.0,1212.0,25504513.0
The Omen,2800000.0,485.0,60922980.0
Blood and Wine,26000000.0,34.0,0.0
Albino Alligator,6000000.0,45.0,0.0
The Mirror Has Two Faces,42000000.0,47.0,0.0
Star Trek: First Contact,46000000.0,671.0,150000000.0
Sling Blade,1000000.0,236.0,24444121.0
Jingle All the Way,60000000.0,583.0,129832389.0
The Preacher's Wife,40000000.0,55.0,48093211.0
